id,asthma,pm10,hoval,apt_rate,pop_den
1,383,45.5532,4107.4,53.63,8518
2,289,45.5532,4069.056,0,2339
3,504,45.5532,1216.345,3.96,5056
4,516,45.5532,1769.724,16.18,2234
5,365,45.5532,3884.667,90.38,23883
6,404,45.5532,8600,5.04,23834
7,304,45.5532,4096.154,0,10222
8,349,45.5532,26806.25,54,3807
9,253,45.5532,10069.759,0,10730
10,252,45.5532,3540.455,2.85,12206
11,334,45.5532,4651.714,28.1,17895
12,329,45.5532,4156.964,2.91,17895
13,475,45.5532,4760.441,35.96,24739
14,440,45.5532,4760.441,14.16,46092
15,835,45.5532,4760.441,83.03,36965
16,781,45.5532,4258.279,43.35,33443
17,339,45.5532,4258.279,29.48,27314
18,336,45.5532,3075.208,9.43,5922
19,784,46.6175,17242.857,70.66,1857
20,244,46.6175,6572.794,71.14,7835
21,472,46.6175,33050.789,47.16,4155
22,305,46.6175,5486.032,27.27,4376
23,405,46.6175,3591.532,3.7,4551
24,279,46.6175,5490.426,51.32,8730
25,276,46.6175,12336.099,27.79,3457
26,384,46.6175,3753.003,7.96,47118
27,481,46.6175,3753.003,11.36,27418
28,498,46.6175,3753.003,82.38,46358
29,485,46.6175,3753.003,83.11,39667
30,494,46.6175,3753.003,17.82,16955
31,441,46.6175,3753.003,77.44,23060
32,491,46.6175,4728.8,69.33,32841
33,397,46.6175,4139.318,43.69,40913
34,298,42.7365,3168.947,12.53,23736
35,385,42.7365,2538.947,11.18,7046
36,255,42.7365,7580.714,5.55,6902
37,420,42.7365,4710.645,73.98,22434
38,305,42.7365,3488.293,33.98,26020
39,373,42.7365,3617.368,63.74,46879
40,344,42.7365,9828.182,99.69,9932
41,327,42.7365,9828.182,84.23,8498
42,241,42.7365,4042.692,33.15,17511
43,290,42.7365,4042.692,25.16,13812
44,246,42.7365,3402.5,53.58,5163
45,260,42.7365,4357.891,15.29,25861
46,327,42.7365,3654.368,1.36,26316
47,297,42.7365,4176.829,61.89,21759
48,396,42.7365,9945.798,72.25,5706
49,296,42.7365,5074.676,34.39,8496
50,506,50.0945,4337.921,73.33,42495
51,405,50.0945,2727.439,66.94,24324
52,338,50.0945,2086.296,26.21,10540
53,410,50.0945,3264.358,60.74,30727
54,373,50.0945,3264.358,96.59,64360
55,475,50.0945,2280.526,72.97,30840
56,454,50.0945,2993.636,66.92,34972
57,395,50.0945,3618.026,72.59,17876
58,304,50.0945,3821.973,59.67,9388
59,293,50.0945,3821.973,63.09,21243
60,285,50.0945,3704.641,44.43,18161
61,313,50.0945,3704.641,73.87,12078
62,399,50.0945,2591.636,38.99,18707
63,319,50.0945,2978.462,14.14,7565
64,460,50.0945,4248.667,70.52,18264
65,546,50.0945,3429.146,35.82,36325
66,414,50.0945,2953.056,71.03,10298
67,261,47.7173,5051.359,13.41,20681
68,301,47.7173,3600.241,20.52,30036
69,364,47.7173,2706.148,3.6,27813
70,509,47.7173,2706.148,5.12,42244
71,340,47.7173,2706.148,15.98,31843
72,386,47.7173,2706.148,5.64,13914
73,697,47.7173,3215.577,0.8,10298
74,287,47.7173,3414.464,6.31,42048
75,454,47.7173,3414.464,4.53,19960
76,415,47.7173,3414.464,71.72,29447
77,297,47.7173,2985.293,87.85,15523
78,343,47.7173,3613.353,13.36,45902
79,355,47.7173,3613.353,47.16,17330
80,323,47.7173,3613.353,86.26,26913
81,323,47.7173,3613.353,30.77,24878
82,268,49.0197,3423.654,40.6,16663
83,314,49.0197,2550.274,38.98,28133
84,378,49.0197,2550.274,60.69,25135
85,468,49.0197,3491.609,60.23,21198
86,291,49.0197,3078.087,44.43,20871
87,306,49.0197,3583.836,42.48,24978
88,424,49.0197,3220.904,20.8,22900
89,424,49.0197,3220.904,87.39,25294
90,362,49.0197,3069.256,57.76,23933
91,555,49.0197,3069.256,79.77,40230
92,749,49.0197,3172.974,62.78,30503
93,709,49.0197,3172.974,63.97,30599
94,406,49.0197,2744.61,25.41,32471
95,406,49.0197,2744.61,79.4,34309
96,304,48.4334,2306.005,42.07,38910
97,425,48.4334,2306.005,53.52,20391
98,368,48.4334,2306.005,7.42,22511
99,560,48.4334,2306.005,48.87,29744
100,391,48.4334,3089.576,74.88,30384
101,306,48.4334,3089.576,22.77,27585
102,391,48.4334,2457.173,43.56,32040
103,412,48.4334,2457.173,12.98,31638
104,577,48.4334,2446.059,59.49,30216
105,596,48.4334,2446.059,42.84,28953
106,291,48.4334,2251.683,0.74,19596
107,462,48.4334,1848.235,87.32,12727
108,443,48.4334,1848.235,99.79,25435
109,474,48.4334,2306.005,9.95,36723
110,464,48.4334,2306.005,35.34,17706
111,321,48.4334,2251.683,46.15,12150
112,431,42.3731,2457.714,87.13,5841
113,427,42.3731,2457.714,94.64,25405
114,272,42.3731,2859.318,34.61,25195
115,450,42.3731,3129.683,22.74,29433
116,512,42.3731,2107.905,75.94,43040
117,400,42.3731,2107.905,39.96,18508
118,406,42.3731,2107.905,15.82,33039
119,460,42.3731,2107.905,60.88,64025
120,378,42.3731,3285.448,96.53,31961
121,378,42.3731,3285.448,36.32,5698
122,458,42.3731,2699.919,80.25,9372
123,354,42.3731,2699.919,65.13,27680
124,337,42.3731,2632.929,1.63,45274
125,267,42.3731,2632.929,5.2,15684
126,337,42.3731,2632.929,31.35,23827
127,545,42.3731,2545.192,10.53,14438
128,343,42.3731,2909.358,38.37,41253
129,279,42.3731,4364.797,26.08,25346
130,311,42.3731,2385.594,72.26,67517
131,325,42.3731,2443.624,42.81,22096
132,362,39.3099,2173.043,21.45,38585
133,566,39.3099,2173.043,40.32,15902
134,566,39.3099,2173.043,95.13,24778
135,305,39.3099,2161.278,3.97,22016
136,458,39.3099,2161.278,43.08,31982
137,484,39.3099,2161.278,3.9,28141
138,454,39.3099,2403.983,34.16,33549
139,454,39.3099,2403.983,14.42,33719
140,554,39.3099,2403.983,17.43,27867
141,451,39.3099,2403.983,19.94,36697
142,642,39.3099,2183.494,99.26,55713
143,508,39.3099,1421.754,16.08,1985
144,289,39.3099,2161.278,8.9,11579
145,487,44.7532,2161.278,28.23,18000
146,353,44.7532,2161.278,49.71,40235
147,398,44.7532,2161.278,38.52,37534
148,398,44.7532,2161.278,91.99,41919
149,408,44.7532,2161.278,56.78,47026
150,425,44.7532,2161.278,0.87,32374
151,853,44.7532,2161.278,95.45,12161
152,384,44.7532,2243.874,83.99,32569
153,384,44.7532,2243.874,40.42,29644
154,384,44.7532,2243.874,33.4,24013
155,384,44.7532,2243.874,99.81,32184
156,384,44.7532,2243.874,82.24,39877
157,346,44.7532,1849.252,18.87,2825
158,346,44.7532,1849.252,91.16,37847
159,479,42.5252,1754.165,58.89,20143
160,513,42.5252,1754.165,91.4,15814
161,702,42.5252,1754.165,99.5,30757
162,669,42.5252,2048.456,87.58,6930
163,424,42.5252,1669.231,90.66,19921
164,424,42.5252,1669.231,100,50812
165,424,42.5252,1897.993,73.63,15234
166,343,42.5252,1897.993,99.9,48395
167,343,42.5252,1897.993,94.08,25110
168,461,42.5252,2549.713,86.58,7893
169,340,42.5252,2549.713,69.96,37043
170,329,42.5252,2549.713,58.19,55450
171,1071,42.5252,2549.713,100,40927
172,849,42.5252,2549.713,99.99,30637
173,692,42.5252,2549.713,100,25889
174,607,42.5252,2048.456,72.43,6988
175,339,42.5252,2549.713,48.51,33516
176,435,42.5252,2549.713,99.98,24951
177,343,42.5252,1897.993,99.6,28691
178,719,46.5471,2655.041,14.91,18692
179,402,46.5471,2679.892,50.08,13477
180,656,46.5471,2696.767,11.3,27308
