°í°´,Ç°¸ñ,È½¼ö
1,6,12
1,10,2
1,11,6
1,13,4
1,29,2
1,37,5
2,2,1
2,6,6
2,9,1
2,11,5
2,14,5
2,15,2
2,17,2
2,18,9
2,27,1
2,37,4
2,46,1
3,6,10
3,11,8
3,13,2
3,18,1
3,21,1
3,32,2
3,37,8
3,40,1
3,46,1
3,61,1
4,6,5
4,11,10
4,13,1
4,14,18
4,15,1
4,18,7
4,27,1
4,32,1
4,35,3
4,37,5
4,40,2
5,6,31
5,9,3
5,10,1
5,11,57
5,13,4
5,14,3
5,17,5
5,18,54
5,25,8
5,27,2
5,32,1
5,34,1
5,37,45
5,39,1
6,1,9
6,2,1
6,3,7
6,5,4
6,6,15
6,8,13
6,9,20
6,10,2
6,11,33
6,13,1
6,14,30
6,16,6
6,17,3
6,18,4
6,26,2
6,27,3
6,29,1
6,30,2
6,32,3
6,34,15
6,35,1
6,36,3
6,37,15
6,39,6
6,42,24
6,43,1
6,53,1
7,1,6
7,6,32
7,11,3
7,13,14
7,14,29
7,15,2
7,18,6
7,24,2
7,27,1
7,29,1
7,37,1
7,61,2
8,6,1
8,14,9
8,17,18
8,18,12
9,5,28
9,6,19
9,11,28
9,13,4
9,14,19
9,18,1
9,19,1
9,27,4
9,32,1
9,34,2
9,36,5
9,37,15
9,39,4
9,40,1
9,51,1
9,57,1
9,61,8
9,65,1
10,5,7
10,6,11
10,11,5
10,13,2
10,17,3
10,18,34
10,30,3
10,37,2
10,40,3
11,6,24
11,10,1
11,13,4
11,14,2
11,18,1
12,1,12
12,2,21
12,5,19
12,6,34
12,8,4
12,9,15
12,10,15
12,11,47
12,12,1
12,14,24
12,15,3
12,16,1
12,17,23
12,18,56
12,19,1
12,20,1
12,23,1
12,25,1
12,26,5
12,27,6
12,29,5
12,30,4
12,32,2
12,34,28
12,35,3
12,36,4
12,37,17
12,39,5
12,42,1
12,46,2
12,51,1
12,61,6
12,65,1
12,66,1
13,6,5
13,10,2
13,11,1
13,13,3
13,18,4
13,37,1
13,66,1
14,6,1
14,14,28
14,15,1
14,18,3
14,24,2
15,6,12
15,11,22
15,13,1
15,17,1
15,18,1
15,24,6
15,27,2
15,32,2
15,37,17
15,39,1
16,6,17
16,9,1
16,11,16
16,13,11
16,14,3
16,18,2
16,21,1
16,24,1
16,25,4
16,28,1
16,29,1
16,30,1
16,32,1
16,33,1
16,34,5
16,35,1
16,36,1
16,37,3
16,39,2
16,42,10
16,61,4
16,66,1
17,1,6
17,2,1
17,5,1
17,6,5
17,8,21
17,9,4
17,11,21
17,14,26
17,15,3
17,16,12
17,18,1
17,22,20
17,26,3
17,27,2
17,29,2
17,30,2
17,32,2
17,34,2
17,35,3
17,36,2
17,37,6
17,39,2
17,52,1
17,55,3
17,61,1
17,66,1
18,6,8
18,10,1
18,11,12
18,13,4
18,14,2
18,17,2
18,18,16
18,24,3
18,34,3
18,35,2
18,37,10
19,2,1
19,6,1
19,9,1
19,11,15
19,14,2
19,16,2
19,17,5
19,18,5
19,25,1
19,32,1
19,35,1
19,37,12
19,39,1
19,40,1
20,1,3
20,5,1
20,6,16
20,7,3
20,10,4
20,11,2
20,13,5
20,14,1
20,18,16
20,25,1
20,26,1
20,39,1
21,1,7
21,6,40
21,10,2
21,11,4
21,13,4
21,14,26
21,15,51
21,17,1
21,18,16
21,22,3
21,27,1
21,34,2
21,36,2
21,37,1
21,46,1
21,59,1
21,61,1
22,1,6
22,11,2
22,14,10
22,15,11
22,17,10
22,18,5
22,37,2
23,1,12
23,2,11
23,6,40
23,11,31
23,13,2
23,18,5
23,22,5
23,27,1
23,30,2
23,32,3
23,33,2
23,35,2
23,36,4
23,37,17
23,40,1
23,43,4
23,51,1
23,66,1
24,5,1
24,6,1
24,14,15
24,15,1
24,17,7
24,53,1
25,6,1
25,10,2
25,11,2
25,13,5
25,18,2
25,37,2
25,46,1
26,6,2
26,11,7
26,14,13
26,18,8
26,25,1
26,32,1
26,37,5
27,1,12
27,5,6
27,6,40
27,11,14
27,13,5
27,15,22
27,17,12
27,18,8
27,24,7
27,26,2
27,27,1
27,28,1
27,33,2
27,34,1
27,36,2
27,37,6
27,42,1
27,61,10
28,1,6
28,3,3
28,6,1
28,11,1
28,14,4
28,15,7
28,17,1
28,18,4
28,37,1
29,1,6
29,6,4
29,11,5
29,12,1
29,13,3
29,27,1
29,32,1
29,37,3
29,40,1
29,46,2
30,6,19
30,10,2
30,11,4
30,13,1
30,18,6
30,34,1
30,37,4
30,40,1
30,46,16
31,5,1
31,6,8
31,9,1
31,10,1
31,11,20
31,13,17
31,14,1
31,15,1
31,17,3
31,18,1
31,24,3
31,33,3
31,37,17
31,45,1
31,61,1
32,6,34
32,9,7
32,11,19
32,13,3
32,14,9
32,17,1
32,18,10
32,24,35
32,27,4
32,30,1
32,32,2
32,33,1
32,34,6
32,35,1
32,36,2
32,37,8
32,40,2
32,51,1
33,5,4
33,6,2
33,7,2
33,11,11
33,14,15
33,15,1
33,16,1
33,17,2
33,18,1
33,24,1
33,32,1
33,33,1
33,35,1
33,37,8
33,40,1
34,5,7
34,6,34
34,7,5
34,9,6
34,10,26
34,11,5
34,13,14
34,18,65
34,21,1
34,22,10
34,24,1
34,26,2
34,27,1
34,30,3
34,33,1
34,34,6
34,40,2
34,41,2
34,46,1
34,48,1
34,51,15
34,53,2
34,56,2
34,58,5
34,59,2
34,61,6
34,62,2
34,66,8
34,69,8
35,1,6
35,6,10
35,9,2
35,10,2
35,11,37
35,16,1
35,17,12
35,18,15
35,24,3
35,27,1
35,32,5
35,34,1
35,35,3
35,36,1
35,37,22
35,39,5
35,46,1
35,51,1
36,1,12
36,6,20
36,9,1
36,11,4
36,14,117
36,15,1
36,16,2
36,18,3
36,24,2
36,34,1
36,37,3
36,39,1
37,5,2
37,6,9
37,10,3
37,11,10
37,13,2
37,14,3
37,18,12
37,24,3
37,27,1
37,37,9
37,46,2
38,1,6
38,6,1
38,14,5
38,46,3
39,5,2
39,6,16
39,7,5
39,10,1
39,11,7
39,12,3
39,14,4
39,18,1
39,27,2
39,32,2
39,33,2
39,34,1
39,36,1
39,39,3
39,69,2
40,2,1
40,3,9
40,5,1
40,10,2
40,11,19
40,14,2
40,18,9
40,23,2
40,24,1
40,30,9
40,37,10
40,42,4
40,61,5
41,2,1
41,5,6
41,6,34
41,7,1
41,9,1
41,10,2
41,11,25
41,13,13
41,14,32
41,15,1
41,18,26
41,25,1
41,26,3
41,27,3
41,30,2
41,32,2
41,34,1
41,36,1
41,37,18
41,40,1
41,46,2
41,53,1
41,61,8
42,11,3
42,17,6
42,18,23
42,29,1
42,37,2
42,61,1
43,1,6
43,3,1
43,5,10
43,6,39
43,8,11
43,10,7
43,11,41
43,13,5
43,14,7
43,15,2
43,18,50
43,22,4
43,24,11
43,27,9
43,28,4
43,30,1
43,32,1
